no	name	explan
67	상점명뭐어쩌라고	가격 딜 가능(어처구니없는가격사양) 품질보장 교신은 내맘대로 화나게하지말고 서로 매너거래합시다 환불안되니까 다시한번 생각.. 신중히생각하고 거래부탁 배송후 바로송장번호ㄱㄱ 문의는 문자,카톡 (전화는부끄러워잉)
68	상점명할게업서	
69	상점명을입력하세영	존중 받고 싶으면 먼저 존중하세요. 구매 합 5천원 이상만 거래합니다(우편제외). 강요하진 않습니다만 ❤️후기를 먼저 적어주시면 저도 적어드립니다❤️ 우편 안합니다. 되는건 따로 상품설명에 써놓겠습니다. 우편 진상이 많아서 양해부탁드려요. 상식을 벗어난 에눌을 요구하시는 분은 별도의 공지 없이 차단합니다. 구매전 유의사항과 교환 환불 규정 읽어주세요. 반품/교환/환불정책 교환이나 환불은 불가합니다! 구매전 유의사항 제 계좌번호랑 전화번호, 실명 걸고 사기 안칩니다. 새제품이라 하더라도 물건 상태 전부 확인하고 발송합니다. 송장 번호와 택배 상태 전부 사진찍어 보내드립니다. 우편으로 발송하게 될 경우에는 영수증과 포장상태 전부 사진찍어 보냅니다. 택배 분실의 경우는 송장 번호 이용해서 택배사에 직접 문의 부탁드리며, 우편 분실은 본인 집 앞 cctv 확인해주세요. 택배 분실은 제가 어느정도 도와드릴 수 있습니다만, 특히나 우편은 제가 도와드릴 수 있는 부분이 아예 없습니다. 우편으로 구매 하시는 분들은 이점 숙지하시고 분실, 도난, 지연 배송에 대한 책임을 본인이 지겠다는 조건에 동의하신 것으로 간주합니다.
70	상점명아망	교신거실땐 교신가 만원 올라갑니다 제 택배비 또한 부담이구요 되도록이면 현거
71	상점명이미다있대	
72	상점명뭐할꼬	대부분 상품이 사용을 한두번밖에 하지않은것들입니다 사서받고서는 왜파시냐고 물어보시는분이 많을정도로 상태가 좋아요! 후회안하실껍니다. - 집 정리하여 멀쩡한 물건들 판매하는경우가 많아 상태는 생각보다 더 좋으실겁니다. 교신안합니다. 찔러보기 하지마세요. 깔끔하게 쿨거래하겠습니다' 중고거래 제품 특성상 교환 환불 안됩니다
73	상점명없다요요	나이키 제품 위주로 판매합니다. 상품 페이지에 별다른 언급이 없다면 새제품이라고 생각하시면 됩니다. 중고 제품은 최대한 상세히 상태를 적어놓겠습니다.
74	상점명뭘로해야함	
75	상점명미치	교환 환불 안됩니다 ! 반품/교환/환불정책 환불x 교환x
76	상점며이없다	
77	상점명다있으면	직거래 인천.가능합니다 반품/교환/환불정책 번개장터 기본정책을 준수 합니다 구매전 유의사항 게시글을 잘 읽어주세요
78	상점명진짜뭐라할까	
79	이미사용중인상점명	여러가지 판매중입니다! 단순변심, 사이즈 미스 환불 절대 불가! 홀드금은 절대 돌려드리지 않습니다!! 반품/교환/환불정책 반품 교환 환불 절대 불가합니다 예약은 홀드금 주셔야 가능합니다 홀드금 환불 절대불가합니다 교환은 직거래 또는 무조건 물건 선으로 받습니다
80	상점명111222	
81	상점명지어줘	반품/교환/환불정책 교환 / 반품 불가능하니 신중한 구매 부탁드립니다 !
82	상정명모하지이	ㅇ
83	상점명이뭔데요	게시글은 재밌게, 거래는 깨끗하게. 구매전 유의사항 게시글에 적을건 다 적어놨으니 정독 후 연락주세요.
84	어렵다상점명	교환 안합니다. 찔러보기 한번은 답변 해드리는데 그 뒤로 답장 없으면 차단합니다. 적어도 알겠다는 답이라도 해야 상호간의 매너입니다.
85	상점며없음1234	
86	1새로운상점명	..
